
code	|	name	|	preferred name	|	lineage
1	|	Malassezia	|	 	|	55193 742845 162474 1538075 452284 5204 451864 4751 33154 2759 131567 
1	|	Polarella	|	 	|	89956 89955 89954 2864 33630 2698737 2759 131567 
1	|	Phaeodactylum	|	 	|	2849 38749 38748 33850 33849 2836 2696291 33634 2698737 2759 131567 
1	|	Parastagonospora	|	 	|	1351751 5020 715340 92860 451868 147541 715962 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1+	|	Nitzschia	|	 	|	2857 33852 33851 33850 33849 2836 2696291 33634 2698737 2759 131567 
1+	|	Nitzschia	|	 	|	651811 66919 2486285 37844 37945 6157 1206795 2697495 33317 33213 6072 33208 33154 2759 131567 
1	|	Penicillium	|	 	|	5073 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Branchiostoma	|	 	|	7737 7736 2682553 2682552 7735 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Globobulimina	|	 	|	212512 212504 212503 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Metarhizium	|	 	|	5529 34397 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Protobothrops	|	 	|	103943 8710 8689 34989 8570 1329911 1329912 1329950 1329961 8509 8504 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Epinephelus	|	 	|	94231 1505891 274794 30871 1489943 8111 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Colletotrichum	|	 	|	5455 681950 1028384 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Pochonia	|	 	|	243023 34397 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Cancris	|	 	|	604142 69036 69038 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Oncorhynchus	|	 	|	8016 504568 8015 8006 41705 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Colletotrichum	|	 	|	5455 681950 1028384 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Aureococcus	|	 	|	44055 54409 35675 2696291 33634 2698737 2759 131567 
1	|	Mixia	|	 	|	34348 165795 432026 432025 29000 5204 451864 4751 33154 2759 131567 
1	|	Bigelowiella	|	 	|	227085 29197 136419 543769 2698737 2759 131567 
1	|	Bolivina	|	 	|	46083 46101 212511 29185 29178 2662056 543769 2698737 2759 131567 
1	|	Paramecium	|	 	|	5884 340080 33825 6020 431838 5878 33630 2698737 2759 131567 
1	|	Branchiostoma	|	 	|	7737 7736 2682553 2682552 7735 7711 33511 33213 6072 33208 33154 2759 131567 
